epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8766300678253174,0.9395024180412292,0.29879996180534363,0.8267161250114441,0.89838707447052,0.43478259444236755,0.8192747831344604,1.2350980043411255,0.43478259444236755,1.0
1,0.8963623642921448,0.9579167366027832,0.28167635202407837,0.8518379330635071,0.915725827217102,0.6928471326828003,0.8932081460952759,0.7356328368186951,0.5873320698738098,0.9870967864990234
2,0.9109471440315247,0.9624685645103455,0.23874247074127197,0.8673660755157471,0.9334677457809448,0.575035035610199,0.9166573286056519,0.9909181594848633,0.5057096481323242,1.0
3,0.9171242117881775,0.96599280834198,0.21428877115249634,0.8653494119644165,0.9536290168762207,0.747545599937439,0.9074000716209412,0.6756033897399902,0.6337448358535767,0.9935483932495117
4,0.9241592288017273,0.969933271408081,0.2020438313484192,0.8746323585510254,0.959274172782898,0.7279102206230164,0.9254622459411621,0.674580991268158,0.6159999966621399,0.9935483932495117
5,0.9203843474388123,0.9691466689109802,0.20150220394134521,0.8766816258430481,0.9459677338600159,0.6479663252830505,0.9020411372184753,0.7784534096717834,0.5525846481323242,1.0
6,0.927762508392334,0.9755616784095764,0.18096056580543518,0.8883440494537354,0.9495967626571655,0.6900420784950256,0.8917914032936096,0.6596834063529968,0.5838041305541992,1.0
7,0.9311942458152771,0.9730462431907654,0.18581227958202362,0.8880178928375244,0.959274172782898,0.7755960822105408,0.9044225215911865,0.519157350063324,0.6644737124443054,0.977419376373291
8,0.9396018981933594,0.9801433682441711,0.16545280814170837,0.9048706293106079,0.9588709473609924,0.5722300410270691,0.903626024723053,1.2520828247070312,0.5040650367736816,1.0
9,0.9404598474502563,0.9780195951461792,0.17001312971115112,0.9019977450370789,0.9649193286895752,0.7601683139801025,0.8887617588043213,0.5452612042427063,0.650759220123291,0.9677419066429138
10,0.9428620338439941,0.9837715029716492,0.1464804857969284,0.906782865524292,0.9649193286895752,0.7517531514167786,0.8989033699035645,0.563727617263794,0.6430107355117798,0.9645161032676697
11,0.9555593729019165,0.9867546558380127,0.1303538829088211,0.9299264550209045,0.9685483574867249,0.6970546841621399,0.895885705947876,0.8541485071182251,0.5900382995605469,0.9935483932495117
12,0.9517844915390015,0.9860748052597046,0.13592086732387543,0.9273222088813782,0.9620967507362366,0.695652186870575,0.8520211577415466,0.7314714193344116,0.5943204760551453,0.9451612830162048
