model,dataset,split,accuracy,auc,loss,precision,recall
VGG16,OASIS-1,validation,0.844319760799408,0.8990234732627869,0.4125310182571411,0.8138801455497742,0.8322580456733704
VGG16,OASIS-1,test,0.7446236610412598,0.8412739634513855,0.5427116751670837,0.7054794430732727,0.6645161509513855
ResNet50,OASIS-1,validation,0.7882187962532043,0.8969142436981201,0.45263388752937317,0.7131367325782776,0.8580645322799683
ResNet50,OASIS-1,test,0.6397849321365356,0.7244908213615417,0.8734542727470398,0.5586591958999634,0.6451612710952759
MedicalNet,OASIS-1,validation,0.8260869565217391,0.8692307692307693,0.5571628709634145,0.875,0.7
MedicalNet,OASIS-1,test,0.7916666666666666,0.75,0.6079869940876961,0.8571428571428571,0.6
