train_loss,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.7516098507541291,0.7120427191257477,0.43478260869565216,0.7153846153846153,0.43478260869565216,1.0
0.7135611956423902,0.6907451699177424,0.43478260869565216,0.7461538461538463,0.42105263157894735,0.8
0.6955540953798497,0.6871184309323629,0.43478260869565216,0.8153846153846154,0.42857142857142855,0.9
0.6875428322781908,0.6736431618531545,0.5652173913043478,0.8461538461538461,0.0,0.0
0.6808224421866397,0.6675167034069697,0.5652173913043478,0.8615384615384616,0.0,0.0
0.6736725283429977,0.6591011583805084,0.5652173913043478,0.8538461538461538,0.0,0.0
0.6686014273065202,0.6502251327037811,0.5652173913043478,0.8615384615384616,0.0,0.0
0.6691735025416029,0.6385014355182648,0.782608695652174,0.8692307692307693,1.0,0.5
0.6655219565046594,0.6257971972227097,0.782608695652174,0.8769230769230769,1.0,0.5
0.6708020929326403,0.6325651357571284,0.5652173913043478,0.8692307692307693,0.0,0.0
0.6665767228349726,0.621639812986056,0.782608695652174,0.8615384615384616,1.0,0.5
0.6458574130814126,0.6022602121035258,0.8260869565217391,0.8692307692307693,1.0,0.6
0.6668136411524833,0.5913610309362411,0.8695652173913043,0.8692307692307693,1.0,0.7
0.6616664205459838,0.5976461842656136,0.782608695652174,0.8615384615384616,1.0,0.5
0.6585437075254765,0.5897490655382475,0.782608695652174,0.8538461538461538,1.0,0.5
0.6369637279434407,0.5937835400303205,0.782608695652174,0.8538461538461538,1.0,0.5
0.6593655084675931,0.5804744685689608,0.782608695652174,0.8615384615384615,1.0,0.5
0.6360330939926999,0.5601433888077736,0.8695652173913043,0.8615384615384615,1.0,0.7
0.6426262402154029,0.5571628709634145,0.8260869565217391,0.8692307692307693,0.875,0.7
0.6371671547915073,0.5623296077052752,0.782608695652174,0.8692307692307693,1.0,0.5
