epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8943033814430237,0.9559767246246338,0.252030611038208,0.8559969663619995,0.9036290049552917,0.5497896075248718,0.9021412134170532,0.795688271522522,0.49128368496894836,1.0
1,0.9099176526069641,0.9669414758682251,0.21558354794979095,0.8772674798965454,0.9165322780609131,0.7321178317070007,0.9051548838615417,0.6664891242980957,0.6187624931335449,1.0
2,0.9255319237709045,0.9696618318557739,0.19995316863059998,0.8805803656578064,0.9544354677200317,0.6619915962219238,0.8946890234947205,0.7952445149421692,0.5626134276390076,1.0
3,0.9281057119369507,0.9733796715736389,0.18470068275928497,0.8832279443740845,0.9576612710952759,0.7124824523925781,0.9030537009239197,0.7660787105560303,0.6019417643547058,1.0
4,0.9359986186027527,0.9773494601249695,0.17330434918403625,0.8911994099617004,0.9677419066429138,0.6605890393257141,0.8991274833679199,0.8720546364784241,0.5615941882133484,1.0
5,0.9358270168304443,0.9769457578659058,0.16972073912620544,0.8943819999694824,0.9629032015800476,0.6998597383499146,0.8994756937026978,0.6977719068527222,0.5916030406951904,1.0
6,0.9466369152069092,0.984686017036438,0.14247122406959534,0.9134578704833984,0.9661290049552917,0.8148667812347412,0.9072800874710083,0.4995661973953247,0.7060185074806213,0.9838709831237793
7,0.9507550001144409,0.9842468500137329,0.13695845007896423,0.9154983162879944,0.9741935729980469,0.8316970467567444,0.9096373915672302,0.43883371353149414,0.7398989796638489,0.9451612830162048
8,0.9632807374000549,0.9914547801017761,0.10542438924312592,0.94017094373703,0.975806474685669,0.7699859738349915,0.9129392504692078,0.6526298522949219,0.6553191542625427,0.9935483932495117
9,0.9680851101875305,0.9906725883483887,0.10396669805049896,0.9449185132980347,0.9822580814361572,0.7531557083129883,0.9039502143859863,0.5909360647201538,0.6401673555374146,0.9870967864990234
10,0.9728894829750061,0.9941474795341492,0.08224736899137497,0.9545810222625732,0.9830645322799683,0.7798036336898804,0.8936765193939209,0.5880268812179565,0.6791568994522095,0.9354838728904724
11,0.9783802628517151,0.9964463710784912,0.06557633727788925,0.9644830226898193,0.9854838848114014,0.8064516186714172,0.9134915471076965,0.5148443579673767,0.708737850189209,0.9419354796409607
12,0.982498288154602,0.9971088767051697,0.057644546031951904,0.9695892333984375,0.9899193644523621,0.7447405457496643,0.8722524046897888,0.7286390066146851,0.6434977650642395,0.92580646276474
