epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8970487117767334,0.9578913450241089,0.24708302319049835,0.8637771010398865,0.8999999761581421,0.5203366279602051,0.9031057357788086,0.8669492602348328,0.47546011209487915,1.0
1,0.9082018136978149,0.9660618305206299,0.21975719928741455,0.879734456539154,0.9084677696228027,0.7405329346656799,0.9160250425338745,0.6227593421936035,0.6262626051902771,1.0
2,0.9258750677108765,0.9696019291877747,0.20099066197872162,0.8801039457321167,0.9560483694076538,0.6633940935134888,0.912919282913208,0.7762007713317871,0.5636363625526428,1.0
3,0.9275909662246704,0.9728739261627197,0.1850457340478897,0.8825278878211975,0.9572580456733704,0.6802244186401367,0.9100896716117859,0.7941811680793762,0.5762081742286682,1.0
4,0.9358270168304443,0.9772180914878845,0.17488671839237213,0.890868604183197,0.9677419066429138,0.7166900634765625,0.9104579091072083,0.7235525846481323,0.60546875,1.0
5,0.9366849660873413,0.9775398373603821,0.16933676600456238,0.8936963677406311,0.9661290049552917,0.6661991477012634,0.8874409794807434,0.7968924045562744,0.5656934380531311,1.0
6,0.9433767795562744,0.984025239944458,0.1461377739906311,0.9081245064735413,0.9645161032676697,0.8232818841934204,0.9110141396522522,0.4714627265930176,0.720095694065094,0.9709677696228027
7,0.9492107033729553,0.9842338562011719,0.14044220745563507,0.9108352065086365,0.9762097001075745,0.8274894952774048,0.9101256132125854,0.4668338894844055,0.727493941783905,0.9645161032676697
8,0.9605353474617004,0.9910370707511902,0.10935987532138824,0.9353715181350708,0.9745967984199524,0.7713884711265564,0.9091971516609192,0.6356452703475952,0.6573875546455383,0.9903225898742676
9,0.9658544659614563,0.988993227481842,0.10924740880727768,0.9408581256866455,0.9814516305923462,0.7685834765434265,0.9115744233131409,0.5647916197776794,0.6539278030395508,0.9935483932495117
10,0.9711736440658569,0.9931906461715698,0.08838437497615814,0.9512100219726562,0.9826613068580627,0.7699859738349915,0.8979028463363647,0.6324414014816284,0.6636771559715271,0.9548386931419373
11,0.9780370593070984,0.9953595399856567,0.07069230079650879,0.9611764550209045,0.98830646276474,0.7615708112716675,0.9075561761856079,0.6310492157936096,0.6541849970817566,0.9580644965171814
12,0.9807824492454529,0.9968295097351074,0.06248515099287033,0.9661417603492737,0.9895161390304565,0.8148667812347412,0.8938524723052979,0.5466421842575073,0.7542856931686401,0.85161292552948
