epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8723404407501221,0.9412935972213745,0.2959253787994385,0.819823145866394,0.8971773982048035,0.43478259444236755,0.8838229179382324,0.9053878784179688,0.43478259444236755,1.0
1,0.8742278814315796,0.9426740407943726,0.29156985878944397,0.8175209164619446,0.9068548679351807,0.43478259444236755,0.8718602657318115,1.12177312374115,0.43478259444236755,1.0
2,0.8822923898696899,0.9492084383964539,0.27709513902664185,0.8402883410453796,0.8931451439857483,0.4361851215362549,0.8974305391311646,1.1110731363296509,0.43539324402809143,1.0
3,0.8864104151725769,0.9542838931083679,0.26126495003700256,0.8386736512184143,0.9076613187789917,0.6928471326828003,0.9125030040740967,0.6485357880592346,0.5886939764022827,0.9741935729980469
4,0.8956760764122009,0.9560449719429016,0.2564317584037781,0.8492537140846252,0.9177419543266296,0.43478259444236755,0.8962778449058533,0.8802081942558289,0.43478259444236755,1.0
5,0.898593008518219,0.9610681533813477,0.2455739676952362,0.8606338500976562,0.9088709950447083,0.739130437374115,0.9028935432434082,0.5778922438621521,0.6336206793785095,0.948387086391449
6,0.9094029068946838,0.9629226326942444,0.23297952115535736,0.8702579736709595,0.925000011920929,0.43478259444236755,0.8789162635803223,1.1377495527267456,0.43478259444236755,1.0
7,0.8980782628059387,0.9603484272956848,0.25201621651649475,0.8646558523178101,0.9016128778457642,0.7798036336898804,0.8782597780227661,0.5464363098144531,0.6976743936538696,0.8709677457809448
8,0.9186685085296631,0.9724898934364319,0.2052280306816101,0.8825324177742004,0.9330645203590393,0.7349228858947754,0.9079964756965637,0.6675189733505249,0.6273684501647949,0.9612902998924255
9,0.931537389755249,0.9777437448501587,0.18665027618408203,0.9053369760513306,0.9370967745780945,0.6044880747795105,0.8668653964996338,1.1439061164855957,0.5249999761581421,0.948387086391449
10,0.9313658475875854,0.976443886756897,0.18511024117469788,0.9065676331520081,0.9350806474685669,0.6423562169075012,0.884375274181366,0.8157235383987427,0.5508317947387695,0.9612902998924255
11,0.940288245677948,0.9827266931533813,0.157167449593544,0.9164062738418579,0.9459677338600159,0.6325385570526123,0.8523852825164795,1.1816942691802979,0.54347825050354,0.9677419066429138
12,0.949553906917572,0.9885454177856445,0.128901869058609,0.926619827747345,0.9572580456733704,0.7503506541252136,0.844180703163147,0.7458548545837402,0.6853932738304138,0.7870967984199524
