epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.893960177898407,0.9557138085365295,0.2517658472061157,0.8583526015281677,0.899193525314331,0.513323962688446,0.9179700613021851,0.8783873319625854,0.4718416929244995,1.0
1,0.9076870083808899,0.9658182263374329,0.22022724151611328,0.8769409656524658,0.9108871221542358,0.7629733681678772,0.9265148639678955,0.5772579312324524,0.6471816301345825,1.0
2,0.928620457649231,0.9710353016853333,0.19493883848190308,0.8839285969734192,0.9580644965171814,0.6465638279914856,0.9215520620346069,0.790238618850708,0.5516014099121094,1.0
3,0.9320521354675293,0.9770251512527466,0.17284241318702698,0.8867854475975037,0.9633064270019531,0.7629733681678772,0.9161649942398071,0.6318157315254211,0.6490486264228821,0.9903225898742676
4,0.9426904320716858,0.981605589389801,0.15851730108261108,0.9009715914726257,0.9721774458885193,0.6676017045974731,0.9136916399002075,0.8625466823577881,0.5667275786399841,1.0
5,0.9469801187515259,0.98349928855896,0.14514510333538055,0.9116420149803162,0.9693548679351807,0.7026647925376892,0.9029536843299866,0.7178060412406921,0.5942307710647583,0.9967741966247559
6,0.9557309746742249,0.989791989326477,0.11776753515005112,0.9276366233825684,0.9717742204666138,0.834502100944519,0.9151444435119629,0.48741966485977173,0.7364531755447388,0.9645161032676697
7,0.9629375338554382,0.9902073740959167,0.10991623997688293,0.9374033808708191,0.978225827217102,0.8260869383811951,0.9078044295310974,0.4665828347206116,0.7396907210350037,0.92580646276474
8,0.9768359661102295,0.995648980140686,0.07377108186483383,0.962160050868988,0.9842742085456848,0.792426347732544,0.9065956473350525,0.6637403964996338,0.6792035102844238,0.9903225898742676
9,0.9802676439285278,0.9961419701576233,0.06659639626741409,0.9650019407272339,0.9895161390304565,0.7699859738349915,0.9008004069328308,0.6946208477020264,0.6573275923728943,0.9838709831237793
10,0.9850720763206482,0.9973664283752441,0.0509798638522625,0.9738613963127136,0.9915322661399841,0.7854137420654297,0.8871287703514099,0.5789532661437988,0.6987341642379761,0.8903225660324097
11,0.9864447712898254,0.9986903071403503,0.03974786400794983,0.9788591861724854,0.9895161390304565,0.7840112447738647,0.89838707447052,0.6159429550170898,0.6884058117866516,0.9193548560142517
12,0.9898764491081238,0.9988913536071777,0.032415784895420074,0.9836196303367615,0.9927419424057007,0.8134642243385315,0.8891779184341431,0.6293210983276367,0.7438016533851624,0.8709677457809448
