epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.877316415309906,0.9468470215797424,0.28415927290916443,0.8243293166160583,0.9044354557991028,0.5960729122161865,0.7548347115516663,0.6607170701026917,0.5230125784873962,0.8064516186714172
1,0.8768016695976257,0.9477335214614868,0.2804082930088043,0.8238970637321472,0.9036290049552917,0.5694249868392944,0.8654807209968567,0.9395104050636292,0.5025041699409485,0.9709677696228027
2,0.8840082287788391,0.9461652040481567,0.28095346689224243,0.8348181247711182,0.9068548679351807,0.43478259444236755,0.8477427363395691,0.9301190972328186,0.43478259444236755,1.0
3,0.8874399662017822,0.9534023404121399,0.2647847831249237,0.8382789492607117,0.9112903475761414,0.48246845602989197,0.8254102468490601,1.499666690826416,0.45655375719070435,1.0
4,0.8943033814430237,0.9562840461730957,0.25375694036483765,0.8480209112167358,0.915725827217102,0.7854137420654297,0.8527815937995911,0.5351771116256714,0.6977329850196838,0.8935483694076538
5,0.9097460508346558,0.961172342300415,0.23554493486881256,0.8640089631080627,0.9350806474685669,0.7208976149559021,0.8441206812858582,0.6507255434989929,0.626423716545105,0.8870967626571655
6,0.9076870083808899,0.9664409756660461,0.22448353469371796,0.8669689893722534,0.925000011920929,0.6325385570526123,0.8790522813796997,0.9234846830368042,0.54347825050354,0.9677419066429138
7,0.9172958135604858,0.966117799282074,0.22253867983818054,0.8766968250274658,0.9375,0.7573632597923279,0.8543104529380798,0.6926363706588745,0.6716791987419128,0.8645161390304565
8,0.92278653383255,0.9697054028511047,0.20707018673419952,0.884178638458252,0.9419354796409607,0.7110799551010132,0.8017810583114624,0.7917571067810059,0.6181818246841431,0.8774193525314331
9,0.9246739745140076,0.9708952903747559,0.2066946178674698,0.8875806927680969,0.9423387050628662,0.7180925607681274,0.82322096824646,0.7321418523788452,0.6172043085098267,0.92580646276474
