epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8821207880973816,0.9436830282211304,0.281923770904541,0.830202579498291,0.9088709950447083,0.43478259444236755,0.8158248662948608,1.2899532318115234,0.43478259444236755,1.0
1,0.8838366270065308,0.9485247135162354,0.2755458950996399,0.8322889804840088,0.9104838967323303,0.43478259444236755,0.8252061009407043,1.2990492582321167,0.43478259444236755,1.0
2,0.8843514323234558,0.9475512504577637,0.27551937103271484,0.8262283205986023,0.9221774339675903,0.43478259444236755,0.836084246635437,1.1598135232925415,0.43478259444236755,1.0
3,0.8967055678367615,0.9561129808425903,0.25290581583976746,0.8397250175476074,0.9358870983123779,0.43478259444236755,0.8500399589538574,1.1070585250854492,0.43478259444236755,1.0
4,0.8991077542304993,0.9574936628341675,0.24719427525997162,0.8475385904312134,0.9302419424057007,0.4502103924751282,0.8554991483688354,0.9821115732192993,0.4415954351425171,1.0
5,0.9006520509719849,0.9574486017227173,0.24540652334690094,0.8477863073348999,0.9342741966247559,0.4656381607055664,0.8656368255615234,0.9328466057777405,0.4486251771450043,1.0
6,0.9070006608963013,0.9635187983512878,0.23117944598197937,0.8607594966888428,0.9322580695152283,0.45301541686058044,0.8660009503364563,1.0302660465240479,0.44285714626312256,1.0
7,0.9123198390007019,0.9603351354598999,0.23305562138557434,0.8639556169509888,0.9423387050628662,0.44039270281791687,0.8661850690841675,1.0860047340393066,0.4372355341911316,1.0
8,0.9088881015777588,0.9658460021018982,0.2227533906698227,0.8618640899658203,0.9358870983123779,0.43899017572402954,0.8682582378387451,1.2042309045791626,0.43661972880363464,1.0
9,0.9136925339698792,0.9609400033950806,0.2289043366909027,0.8673355579376221,0.9411290287971497,0.48527348041534424,0.8714600205421448,0.9426126480102539,0.4579025208950043,1.0
10,0.914893627166748,0.9655610918998718,0.21798598766326904,0.8655121326446533,0.9471774101257324,0.5203366279602051,0.870907723903656,0.8953202366828918,0.47546011209487915,1.0
11,0.9184969067573547,0.9703676104545593,0.20729051530361176,0.8706099987030029,0.9495967626571655,0.513323962688446,0.8700112104415894,0.9496562480926514,0.4718416929244995,1.0
12,0.9205559492111206,0.9701840877532959,0.2046041637659073,0.8767277002334595,0.9463709592819214,0.5413744449615479,0.8701032400131226,0.8598759770393372,0.48665618896484375,1.0
13,0.9224433898925781,0.9733456373214722,0.19560083746910095,0.880630612373352,0.9459677338600159,0.49649369716644287,0.8693588376045227,1.033294677734375,0.4633781909942627,1.0
14,0.9253603219985962,0.9725421071052551,0.1965223103761673,0.8811032176017761,0.9532257914543152,0.5413744449615479,0.8674697279930115,0.8727837204933167,0.48665618896484375,1.0
15,0.9253603219985962,0.9740474820137024,0.19239293038845062,0.8816722631454468,0.9524193406105042,0.47685834765434265,0.8594533205032349,1.1595418453216553,0.4538799524307251,1.0
16,0.9291352033615112,0.9738467931747437,0.1889345496892929,0.8857782483100891,0.9568548202514648,0.5778400897979736,0.870171308517456,0.7912524938583374,0.5074626803398132,0.9870967864990234
17,0.9294784069061279,0.9752505421638489,0.185559943318367,0.888180136680603,0.9544354677200317,0.5680224299430847,0.8662570714950562,0.8122389316558838,0.5016181468963623,1.0
18,0.9313658475875854,0.9752181768417358,0.18459492921829224,0.8889304399490356,0.9584677219390869,0.4936886429786682,0.8637516498565674,1.1089650392532349,0.46199703216552734,1.0
19,0.9344543814659119,0.9765845537185669,0.18017205595970154,0.8899628520011902,0.9653225541114807,0.5848527550697327,0.8748738765716553,0.8213452100753784,0.5116279125213623,0.9935483932495117
