epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.885209321975708,0.9441134333610535,0.2837214767932892,0.8301129937171936,0.9181451797485352,0.43478259444236755,0.6039982438087463,1.7465234994888306,0.43478259444236755,1.0
1,0.8761153221130371,0.9429214596748352,0.2979872524738312,0.8226872086524963,0.9036290049552917,0.43478259444236755,0.7167133688926697,1.3860183954238892,0.43478259444236755,1.0
2,0.885209321975708,0.9461629986763,0.2817688286304474,0.8298724889755249,0.9185484051704407,0.5904628038406372,0.7839190363883972,0.827156126499176,0.5169811248779297,0.8838709592819214
3,0.8953328728675842,0.9550700783729553,0.2593331038951874,0.8468101024627686,0.9205645322799683,0.6100981831550598,0.7762627005577087,0.9928904175758362,0.5299625396728516,0.9129032492637634
4,0.8960192203521729,0.9507499933242798,0.2665092945098877,0.846267580986023,0.9233871102333069,0.695652186870575,0.7759546041488647,0.6466707587242126,0.6115108132362366,0.8225806355476379
5,0.8929306864738464,0.9542078375816345,0.26256662607192993,0.8442136645317078,0.9177419543266296,0.791023850440979,0.8289482593536377,0.5749598145484924,0.7146666646003723,0.8645161390304565
6,0.8963623642921448,0.9560649394989014,0.2558770179748535,0.8456153273582458,0.9254032373428345,0.43478259444236755,0.8324861526489258,1.1611567735671997,0.43478259444236755,1.0
7,0.9061427712440491,0.9621320366859436,0.24303622543811798,0.8607689142227173,0.9298387169837952,0.7110799551010132,0.8120266795158386,0.7181828618049622,0.6140350699424744,0.9032257795333862
8,0.9039121270179749,0.9606906771659851,0.24134331941604614,0.858208954334259,0.9274193644523621,0.7433379888534546,0.8269670605659485,0.6894082427024841,0.6560196280479431,0.8612903356552124
9,0.9179821610450745,0.9663844108581543,0.22142915427684784,0.8808979988098145,0.9334677457809448,0.5413744449615479,0.775802493095398,1.1291985511779785,0.48626816272735596,0.9709677696228027
10,0.9176389575004578,0.9682997465133667,0.21621620655059814,0.8802281618118286,0.9334677457809448,0.7363253831863403,0.7989754676818848,0.8050163984298706,0.6487804651260376,0.8580645322799683
